gameid,homeTeam,homeId,awayTeam,awayId,preShotsHome,preHitsHome,prePenaltiesHome,preShotsAway,preHitsAway,prePenaltiesAway,preShotsTotal,preHitsTotal,prePenaltiesTotal,fightTime,player1Id,player1Name,player2Id,player2Name,postShotsHome,postHitsHome,postPenaltiesHome,postShotsAway,postHitsAway,postPenaltiesAway,postShotsTotal,postHitsTotal,postPenaltiesTotal
2015020974,Toronto Maple Leafs,10,Ottawa Senators,9,40.72,57.01,0.0,40.72,57.01,0.0,81.45,114.03,0.0,07:22,8471862.0,Colin Greening,8470602.0,Dion Phaneuf,41.04,26.22,1.14,26.22,28.5,4.56,67.26,54.72,5.7
2015020978,Arizona Coyotes,53,Florida Panthers,13,20.6,28.62,6.87,35.48,24.04,3.43,56.09,52.66,10.3,52:54,8471231.0,Kyle Chipchura,8475755.0,Alex Petrovic,25.35,25.35,0.0,8.45,25.35,16.9,33.8,50.7,16.9
2015020988,Florida Panthers,13,Boston Bruins,6,45.0,19.69,2.81,33.75,16.88,2.81,78.75,36.56,5.62,21:20,8471717.0,Adam McQuaid,8465978.0,Shawn Thornton,43.59,16.88,7.03,21.09,22.5,5.62,64.69,39.38,12.66
2015020990,Calgary Flames,20,San Jose Sharks,28,40.64,14.97,4.28,12.83,12.83,12.83,53.48,27.81,17.11,28:03,8477903.0,Garnet Hathaway,8470613.0,Brent Burns,52.07,11.16,1.86,27.89,7.44,5.58,79.96,18.6,7.44
2015020992,Los Angeles Kings,26,Vancouver Canucks,23,25.56,27.88,5.81,20.91,31.36,3.48,46.47,59.24,9.29,51:56,8475188.0,Brayden McNabb,8473432.0,Derek Dorsett,14.88,7.44,7.44,22.31,7.44,7.44,37.19,14.88,14.88
2015020995,Carolina Hurricanes,12,Ottawa Senators,9,7.09,56.69,7.09,28.35,35.43,7.09,35.43,92.13,14.17,08:28,8476944.0,Brendan Woods,8467493.0,Chris Neil,28.52,15.1,1.68,15.94,22.65,4.19,44.45,37.74,5.87
2015020996,Columbus Blue Jackets,29,Detroit Red Wings,17,35.47,27.28,4.09,19.1,23.19,4.09,54.57,50.47,8.18,44:25,8476960.0,Andreas Athanasiou,8474685.0,Matt Calvert,3.85,15.4,19.25,69.3,11.55,15.4,73.16,26.95,34.65
2015021000,Edmonton Oilers,22,San Jose Sharks,28,31.07,19.68,1.04,19.68,15.54,2.07,50.75,35.21,3.11,58:20,8477498.0,Darnell Nurse,8471392.0,Roman Polak,36.0,0.0,36.0,0.0,0.0,72.0,36.0,0.0,108.0
2015021006,Los Angeles Kings,26,Washington Capitals,15,34.49,47.04,3.14,18.82,37.63,9.41,53.31,84.67,12.54,19:54,8474100.0,Dwight King,8473426.0,Mike Weber,20.96,40.53,2.8,32.14,30.75,4.19,53.11,71.27,6.99
2015021006,Los Angeles Kings,26,Washington Capitals,15,27.69,43.27,3.46,19.04,34.62,6.92,46.73,77.88,10.38,34:40,8476880.0,Tom Wilson,8475160.0,Kyle Clifford,21.3,40.47,4.26,38.34,29.82,2.13,59.64,70.3,6.39
2015021008,Montréal Canadiens,8,Buffalo Sabres,7,27.1,50.32,1.94,34.84,50.32,3.87,61.94,100.65,5.81,31:36,8471371.0,Mike Brown,8475235.0,Nicolas Deslauriers,35.92,21.13,4.23,38.03,25.35,8.45,73.94,46.48,12.68
2015021008,Montréal Canadiens,8,Buffalo Sabres,7,26.74,43.09,2.97,34.17,44.57,5.94,60.92,87.66,8.91,40:23,8474688.0,Greg Pateryn,8475220.0,Marcus Foligno,39.76,21.41,3.06,39.76,24.47,6.12,79.52,45.88,9.18
2015021027,Vancouver Canucks,23,Nashville Predators,18,0.0,61.02,0.0,0.0,0.0,0.0,0.0,61.02,0.0,01:00,8476887.0,Filip Forsberg,8477937.0,Jake Virtanen,24.41,19.32,5.08,35.59,18.31,4.07,60.0,37.63,9.15
2015021030,New York Rangers,3,Pittsburgh Penguins,5,28.5,27.0,4.5,30.0,22.5,4.5,58.5,49.5,9.0,40:01,8475184.0,Chris Kreider,8470543.0,Chris Kunitz,15.01,21.02,3.0,24.02,18.02,9.01,39.03,39.03,12.01
2015021033,New York Islanders,2,Florida Panthers,13,17.21,22.37,1.72,22.37,27.53,1.72,39.58,49.9,3.44,34:56,8475314.0,Anders Lee,8475191.0,Reilly Smith,35.9,26.33,4.79,23.94,7.18,9.57,59.84,33.51,14.36
2015021043,Montréal Canadiens,8,Florida Panthers,13,27.21,54.43,0.0,50.54,42.76,0.0,77.75,97.19,0.0,15:27,8471371.0,Mike Brown,8465978.0,Shawn Thornton,26.94,29.63,6.73,25.59,26.94,5.39,52.53,56.57,12.12
2015021043,Montréal Canadiens,8,Florida Panthers,13,24.97,33.29,4.16,29.13,30.52,4.16,54.1,63.82,8.32,43:18,8477446.0,Michael McCarron,8475253.0,Garrett Wilson,32.34,43.11,7.19,39.52,32.34,3.59,71.86,75.45,10.78
2015021044,Ottawa Senators,9,Minnesota Wild,30,19.64,45.82,0.0,22.91,32.73,0.0,42.55,78.55,0.0,18:22,8476288.0,Ryan Dzingel,8476856.0,Matt Dumba,14.31,27.32,3.9,20.82,15.61,5.2,35.13,42.93,9.11
2015021050,Calgary Flames,20,Winnipeg Jets,52,11.91,15.88,3.97,27.78,19.85,0.0,39.69,35.72,3.97,15:13,8475907.0,Micheal Ferland,8477076.0,JC Lipon,18.76,16.08,1.34,28.14,14.74,5.36,46.89,30.82,6.7
2015021058,Dallas Stars,25,Tampa Bay Lightning,14,29.39,29.39,0.0,9.8,14.69,4.9,39.18,44.08,4.9,12:19,8474849.0,Antoine Roussel,8471339.0,Ryan Callahan,28.94,28.94,1.26,18.87,31.46,1.26,47.82,60.4,2.52
2015021059,Arizona Coyotes,53,San Jose Sharks,28,22.36,19.88,2.48,9.94,9.94,0.0,32.3,29.81,2.48,24:12,8477503.0,Max Domi,8471709.0,Marc-Edouard Vlasic,16.76,18.44,1.68,38.55,11.73,5.03,55.31,30.17,6.7
2015021061,Buffalo Sabres,7,Ottawa Senators,9,35.32,17.66,2.21,30.9,11.04,2.21,66.22,28.69,4.41,27:11,8477499.0,Rasmus Ristolainen,8475163.0,Alex Chiasson,27.43,9.14,12.8,32.91,12.8,12.8,60.34,21.94,25.6
2015021063,Winnipeg Jets,52,Chicago Blackhawks,16,28.92,26.7,2.22,37.82,13.35,2.22,66.75,40.05,4.45,26:58,8475279.0,Ben Chiarot,8476381.0,Andrew Shaw,27.25,16.35,1.82,27.25,16.35,9.08,54.49,32.69,10.9
2015021066,Anaheim Ducks,24,Boston Bruins,6,26.56,30.36,3.79,36.68,37.95,3.79,63.25,68.31,7.59,47:26,8465009.0,Zdeno Chara,8470886.0,Clayton Stoner,4.77,23.87,4.77,42.97,14.32,0.0,47.75,38.2,4.77
2015021071,Ottawa Senators,9,Montréal Canadiens,8,54.78,54.78,3.91,50.87,31.3,0.0,105.65,86.09,3.91,15:25,8467493.0,Chris Neil,8471371.0,Mike Brown,33.64,43.07,5.38,22.88,32.3,5.38,56.52,75.36,10.77
2015021072,Florida Panthers,13,Detroit Red Wings,17,22.13,18.22,3.9,28.63,15.62,3.9,50.76,33.84,7.81,46:18,8471716.0,Justin Abdelkader,8476456.0,Jonathan Huberdeau,26.28,17.52,8.76,13.14,8.76,4.38,39.42,26.28,13.14
2015021076,Arizona Coyotes,53,Tampa Bay Lightning,14,32.66,24.82,6.53,36.57,19.59,6.53,69.23,44.41,13.06,45:56,8476806.0,J.T. Brown,8477407.0,Anthony Duclair,29.86,21.33,8.53,25.59,8.53,8.53,55.45,29.86,17.06
2015021077,Los Angeles Kings,26,Boston Bruins,6,35.36,53.05,0.0,10.61,56.58,0.0,45.97,109.63,0.0,17:01,8471717.0,Adam McQuaid,8474100.0,Dwight King,11.17,19.54,6.98,33.5,40.48,2.79,44.67,60.02,9.77
2015021078,Winnipeg Jets,52,Anaheim Ducks,24,51.64,36.89,0.0,29.51,36.89,0.0,81.15,73.77,0.0,08:14,8473465.0,Jamie McGinn,8476392.0,Adam Lowry,21.51,26.89,3.23,27.97,18.29,3.23,49.48,45.17,6.45
2015021091,Montréal Canadiens,8,Anaheim Ducks,24,18.09,54.27,0.0,24.12,48.24,6.03,42.21,102.51,6.03,09:58,8477446.0,Michael McCarron,8476312.0,Josh Manson,19.19,25.18,2.4,33.58,35.98,1.2,52.76,61.16,3.6
2015021093,Tampa Bay Lightning,14,Detroit Red Wings,17,37.64,21.51,2.69,18.82,32.26,5.38,56.46,53.77,8.07,22:21,8474090.0,Brendan Smith,8476806.0,J.T. Brown,22.31,9.56,4.78,25.5,22.31,6.37,47.81,31.87,11.16
2015021100,New York Rangers,3,Boston Bruins,6,18.37,36.73,0.0,18.37,27.55,9.18,36.73,64.29,9.18,06:35,8470854.0,Tanner Glass,8473492.0,Matt Beleskey,19.1,25.83,2.25,41.56,30.33,5.62,60.66,56.16,7.86
2015021103,Columbus Blue Jackets,29,Carolina Hurricanes,12,42.86,16.07,0.0,18.75,8.04,2.68,61.61,24.11,2.68,22:26,8474089.0,Brad Malone,8473422.0,Nick Foligno,41.53,19.17,6.39,22.36,17.57,4.79,63.89,36.73,11.18
2015021111,San Jose Sharks,28,Edmonton Oilers,22,37.89,0.0,0.0,18.95,75.79,0.0,56.84,75.79,0.0,03:11,8474230.0,Micheal Haley,8477498.0,Darnell Nurse,22.18,28.51,1.06,15.84,23.23,7.39,38.02,51.75,8.45
2015021114,St. Louis Blues,19,Vancouver Canucks,23,36.92,36.92,6.15,18.46,18.46,6.15,55.38,55.38,12.31,09:45,8474031.0,Kevin Shattenkirk,8470358.0,Alexandre Burrows,32.24,34.63,0.0,14.33,13.13,3.58,46.57,47.76,3.58
2015021118,San Jose Sharks,28,Dallas Stars,25,38.39,42.65,4.27,12.8,17.06,4.27,51.18,59.72,8.53,14:05,8474849.0,Antoine Roussel,8474739.0,Tommy Wingels,32.67,24.83,6.53,13.07,23.52,9.15,45.74,48.35,15.68
2015021121,Ottawa Senators,9,Anaheim Ducks,24,19.2,14.4,0.0,28.8,33.6,4.8,48.0,48.0,4.8,12:34,8470886.0,Clayton Stoner,8467493.0,Chris Neil,31.16,29.96,5.99,34.75,33.56,5.99,65.91,63.52,11.98
2015021121,Ottawa Senators,9,Anaheim Ducks,24,23.95,15.96,3.99,23.95,31.93,11.97,47.89,47.89,15.96,15:05,8470621.0,Corey Perry,8477508.0,Curtis Lazar,30.28,30.28,5.05,36.59,34.07,3.79,66.88,64.35,8.83
2015021128,Los Angeles Kings,26,Edmonton Oilers,22,30.53,34.6,4.07,30.53,36.63,2.04,61.05,71.23,6.11,29:38,8473473.0,Milan Lucic,8474034.0,Patrick Maroon,23.71,27.66,3.95,19.76,33.59,1.98,43.47,61.25,5.93
2015021129,Carolina Hurricanes,12,New Jersey Devils,1,14.15,42.44,0.0,7.07,42.44,7.07,21.22,84.87,7.07,08:33,8474089.0,Brad Malone,8476769.0,Bobby Farnham,20.99,24.49,2.33,25.66,31.49,5.83,46.65,55.98,8.16
2015021136,Nashville Predators,18,Colorado Avalanche,21,0.0,77.42,0.0,154.84,0.0,0.0,154.84,77.42,0.0,01:40,8467890.0,Barret Jackman,8462042.0,Jarome Iginla,32.91,19.54,2.06,19.54,21.6,4.11,52.46,41.14,6.17
2015021139,San Jose Sharks,28,Los Angeles Kings,26,28.3,47.76,5.31,26.54,35.38,1.77,54.84,83.14,7.08,33:58,8474230.0,Micheal Haley,8475160.0,Kyle Clifford,23.05,43.79,0.0,34.57,55.31,4.61,57.62,99.1,4.61
2015021143,Montréal Canadiens,8,Detroit Red Wings,17,29.23,18.79,2.09,18.79,25.06,6.26,48.03,43.85,8.35,28:44,8471296.0,Alexei Emelin,8471716.0,Justin Abdelkader,17.27,13.43,5.76,57.57,9.59,9.59,74.84,23.03,15.35
2015021146,Minnesota Wild,30,Chicago Blackhawks,16,25.05,11.39,0.0,11.39,15.94,6.83,36.43,27.32,6.83,26:39,8476381.0,Andrew Shaw,8476856.0,Matt Dumba,5.4,17.99,7.2,23.39,7.2,0.0,28.79,25.19,7.2
2015021147,Dallas Stars,25,Nashville Predators,18,18.7,17.26,2.88,27.33,25.89,4.31,46.02,43.15,7.19,41:58,8470622.0,Patrick Eaves,8476925.0,Colton Sissons,23.29,13.31,6.65,29.94,29.94,9.98,53.23,43.25,16.64
